ord_date,rec_date,supplier,item_description,rec_qty,Store
12/31/2022,1/3/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,168,Store1
12/31/2022,1/4/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/1/2023,1/3/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,144,Store1
1/2/2023,1/3/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,168,Store1
1/2/2023,1/4/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,312,Store1
1/2/2023,1/5/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/3/2023,1/4/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,96,Store1
1/3/2023,1/5/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,72,Store1
1/3/2023,1/6/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,48,Store1
1/4/2023,1/5/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,144,Store1
1/4/2023,1/6/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,168,Store1
1/4/2023,1/7/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,96,Store1
1/5/2023,1/6/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,72,Store1
1/5/2023,1/7/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/6/2023,1/7/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,48,Store1
1/7/2023,1/10/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/7/2023,1/11/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/8/2023,1/12/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,72,Store1
1/9/2023,1/10/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,72,Store1
1/9/2023,1/11/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,312,Store1
1/9/2023,1/12/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,96,Store1
1/10/2023,1/11/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/10/2023,1/13/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,144,Store1
1/11/2023,1/12/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,96,Store1
1/11/2023,1/13/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/12/2023,1/16/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,48,Store1
1/13/2023,1/16/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,72,Store1
1/14/2023,1/16/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/15/2023,1/17/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,48,Store1
1/16/2023,1/17/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,216,Store1
1/16/2023,1/18/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,312,Store1
1/17/2023,1/18/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,288,Store1
1/17/2023,1/19/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,72,Store1
1/18/2023,1/19/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,72,Store1
1/18/2023,1/20/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,96,Store1
1/18/2023,1/21/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,48,Store1
1/19/2023,1/21/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,48,Store1
1/20/2023,1/21/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,168,Store1
1/21/2023,1/21/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/22/2023,1/25/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,48,Store1
1/23/2023,1/24/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,48,Store1
1/23/2023,1/25/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,480,Store1
1/23/2023,1/26/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,96,Store1
1/24/2023,1/25/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,216,Store1
1/24/2023,1/26/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,192,Store1
1/25/2023,1/26/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,96,Store1
1/25/2023,1/28/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,72,Store1
1/26/2023,1/29/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,240,Store1
1/27/2023,1/30/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,72,Store1
1/27/2023,1/31/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/28/2023,1/31/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,24,Store1
1/29/2023,1/31/2023,COCA_COLA_COMPANY,COCA_COLA_CAN_250ML,240,Store1
